assetNumber,remainingTermToMaturityNumber,reportingPeriodBeginningDate,originalLoanAmount,originalLoanTerm,originalInterestRatePercentage,reportingPeriodActualEndBalanceAmount
19781019,73,2019-02-01,15125.61,72,0.2284,15125.61
19781020,73,2019-02-01,17932.46,72,0.1678,17932.46
19781021,60,2019-02-01,11215,60,0.25,11115.44
19780799,48,2019-02-01,7812.78,48,0.2374,7529.34
19780800,73,2019-02-01,30635.9,72,0.1776,30635.9
19780801,73,2019-02-01,29418.43,72,0.1772,29418.43
19780806,73,2019-02-01,12872.98,72,0.2381,12872.98
19781028,73,2019-02-01,15883.34,72,0.18,15883.34
19779129,75,2019-02-01,35224.3,75,0.1566,35224.3
19779130,73,2019-02-01,12616.03,72,0.2353,12616.03
19779137,73,2019-02-01,12979.68,72,0.222,12979.68
19789302,73,2019-02-01,23897.44,72,0.1889,23897.44
19789304,73,2019-02-01,11272.19,72,0.235,11272.19
19789318,72,2019-02-01,27980.75,72,0.1733,27362.32
19795749,73,2019-02-01,19739.59,72,0.2219,19739.59
19795756,73,2019-02-01,15001.32,72,0.2412,15001.32
19789517,73,2019-02-01,25863.66,72,0.2164,25863.66
19789545,72,2019-02-01,18016.66,72,0.1534,17956.27
19789556,73,2019-02-01,21534.75,72,0.1549,20338.74
19789562,73,2019-02-01,12064.33,72,0.2129,12064.33
19779263,73,2019-02-01,28941.43,72,0.1678,28941.43
19779269,61,2019-02-01,21677.06,60,0.1596,21677.06
19795761,72,2019-02-01,20791.48,72,0.1317,20529.78
19781095,73,2019-02-01,18594.54,72,0.1508,18351.71
19781108,73,2019-02-01,26821.15,72,0.1668,26821.15
19795773,73,2019-02-01,14984.15,72,0.2258,14984.15
19795924,73,2019-02-01,14547.51,72,0.1249,14547.51
19789564,73,2019-02-01,13531.5,72,0.2426,13531.5
19795714,76,2019-02-01,26712.83,75,0.1699,26712.83
19795726,72,2019-02-01,21821.93,72,0.18,21720.18
19795732,73,2019-02-01,15955.99,72,0.2174,15955.99
19795738,73,2019-02-01,18148,72,0.21,18148
19795739,72,2019-02-01,20500.72,72,0.2346,20450.1
19795743,73,2019-02-01,18849.4,72,0.1823,18849.4
19795747,73,2019-02-01,21456,72,0.2528,21456
19788119,73,2019-02-01,33320.56,72,0.2199,32877.35
19788121,73,2019-02-01,19020,72,0.1645,19020
19788127,73,2019-02-01,33479.73,72,0.1311,33479.73
19788135,60,2019-02-01,6825,60,0.2512,6763.54
19795939,73,2019-02-01,13243.73,72,0.241,13243.73
19795944,24,2019-02-01,7337,24,0.2521,7045.99
19795945,73,2019-02-01,15653.33,72,0.2156,15555.02
19788139,72,2019-02-01,17795.68,72,0.2209,17663.91
19781125,61,2019-02-01,14235.6,60,0.2044,14235.6
19779440,73,2019-02-01,25719.98,72,0.1678,25719.98
19779454,73,2019-02-01,17544,72,0.2071,17544
19779477,73,2019-02-01,14227.97,72,0.2,14024.66
19779478,72,2019-02-01,11903.39,72,0.2473,11903.39
19779484,73,2019-02-01,29771.72,72,0.2589,29771.72
19779485,73,2019-02-01,21949.46,72,0.2194,21949.46
19779492,73,2019-02-01,20308.81,72,0.2799,20246.68
19779501,73,2019-02-01,16116.53,72,0.1618,16116.53
19779502,73,2019-02-01,13106,72,0.2609,13106
19779510,73,2019-02-01,21692.09,72,0.1679,21599.79
19779466,60,2019-02-01,15328.99,60,0.1956,15213.03
19779258,73,2019-02-01,22911.2,72,0.266,22911.2
19779265,73,2019-02-01,23154.14,72,0.1823,23154.14
19779267,73,2019-02-01,16647.62,72,0.2385,16647.62
19779272,73,2019-02-01,23036.18,72,0.1767,22848.47
19779273,73,2019-02-01,22984.85,72,0.25,22984.85
19779281,73,2019-02-01,21911,72,0.18,21911
19795928,72,2019-02-01,39797.36,72,0.1717,39744.04
19795932,73,2019-02-01,14327,72,0.249,14327
19795933,73,2019-02-01,18882.83,72,0.264,18882.83
19795934,72,2019-02-01,12447.36,72,0.2798,12447.36
19795938,73,2019-02-01,20202.2,72,0.1581,20202.2
19795943,72,2019-02-01,13219.1,72,0.1399,13085.96
19795951,76,2019-02-01,43148.79,75,0.1498,43148.79
19795954,72,2019-02-01,10518,72,0.2061,10518
19793729,73,2019-02-01,15889.05,72,0.178,15737.68
19793736,72,2019-02-01,11915.08,72,0.2061,11827.29
19793742,73,2019-02-01,33143.75,72,0.21,33143.75
19793743,73,2019-02-01,20798.35,72,0.2061,20798.35
19793765,72,2019-02-01,28007.19,72,0.1678,27773.84
19793766,72,2019-02-01,26374.14,72,0.1678,26081.65
19793772,76,2019-02-01,48812.68,75,0.1158,48812.68
19793788,72,2019-02-01,24635.09,72,0.1889,23883.59
19793796,72,2019-02-01,16050,72,0.2408,15922.87
19779282,73,2019-02-01,16712.58,72,0.2381,16712.58
19779291,75,2019-02-01,29519,75,0.18,29324.83
19779305,73,2019-02-01,14455.37,72,0.1975,14455.37
19779326,72,2019-02-01,32470.91,72,0.1478,32182.64
19779331,73,2019-02-01,32040,72,0.18,32040
19779333,73,2019-02-01,19476,72,0.2046,19349.42
19779338,48,2019-02-01,7120,48,0.2612,7025.81
19779354,73,2019-02-01,19460.11,72,0.2376,19460.11
19794169,73,2019-02-01,19455.87,72,0.241,19455.87
19794187,73,2019-02-01,28049.3,72,0.2064,28049.3
19794199,73,2019-02-01,21526.74,72,0.18,21526.74
19794200,72,2019-02-01,21288,72,0.21,21288
19794201,73,2019-02-01,19440,72,0.18,19440
19794248,73,2019-02-01,45951.11,72,0.1099,45951.11
19794256,73,2019-02-01,37085.14,72,0.1074,37085.14
19794270,73,2019-02-01,19801.53,72,0.1958,19801.53
19794271,60,2019-02-01,9568.57,60,0.2051,9552.14
19794673,72,2019-02-01,19294,72,0.2012,19011.7
19794682,76,2019-02-01,29524.11,75,0.1921,29524.11
19794722,72,2019-02-01,21621.47,72,0.2343,21476.08
19794734,73,2019-02-01,17316.54,72,0.2304,17316.54
19794735,72,2019-02-01,17100.77,72,0.1474,17100.77
19794747,73,2019-02-01,18579.35,72,0.2687,18579.35
19794683,73,2019-02-01,16513.5,72,0.1291,16456.22
19794768,61,2019-02-01,31602.93,60,0.2105,31602.93
19794705,73,2019-02-01,20978.43,72,0.1823,20978.43
19794710,72,2019-02-01,8740,72,0.2743,8648.78
19794718,72,2019-02-01,9054,72,0.21,9054
19794725,73,2019-02-01,16103.13,72,0.1814,16103.13
19794737,73,2019-02-01,26138.54,72,0.143,26138.54
19794253,72,2019-02-01,18979.08,72,0.2072,18979.08
19794259,73,2019-02-01,15028.92,72,0.1913,15028.92
19794266,61,2019-02-01,8792.31,60,0.1047,8792.31
19794272,73,2019-02-01,32064.98,72,0.2022,32064.98
19794764,73,2019-02-01,15782.69,72,0.1664,15603.77
19794767,37,2019-02-01,11901.99,36,0.2799,11677.82
19794806,73,2019-02-01,14800.54,72,0.1151,14800.54
19794812,72,2019-02-01,15740.25,72,0.2305,15740.25
19794814,73,2019-02-01,33595.84,72,0.1793,33595.84
19794820,73,2019-02-01,20201.11,72,0.2381,20201.11
19795796,73,2019-02-01,18260,72,0.233,18260
19795797,73,2019-02-01,26835.7,72,0.191,26835.7
19795810,73,2019-02-01,19554.1,72,0.2276,19554.1
19795815,72,2019-02-01,18481.78,72,0.1678,18285.31
19795820,73,2019-02-01,21061,72,0.18,21061
19795825,72,2019-02-01,14805.36,72,0.2479,14707.42
19795814,76,2019-02-01,28657.18,75,0.18,28657.18
19795829,61,2019-02-01,13627.45,60,0.166,13627.45
19795835,73,2019-02-01,24519.53,72,0.2179,24519.53
19795831,73,2019-02-01,36035.41,72,0.1291,36035.41
19795832,72,2019-02-01,17076.75,72,0.2336,17076.75
19795843,73,2019-02-01,17712.05,72,0.2799,17712.05
19795861,76,2019-02-01,28430.91,75,0.212,28430.91
19795841,73,2019-02-01,15295.12,72,0.2251,15295.12
19795864,67,2019-02-01,15896,66,0.2519,15896
19794803,73,2019-02-01,14840.94,72,0.1667,14840.94
19794822,73,2019-02-01,17297.84,72,0.18,17297.84
19794831,73,2019-02-01,22749.79,72,0.1652,22749.79
19794841,73,2019-02-01,20234.03,72,0.184,20234.03
19794858,73,2019-02-01,43799.99,72,0.1722,43799.99
19794866,73,2019-02-01,22896.44,72,0.2428,22896.44
19794883,73,2019-02-01,10403.04,72,0.2562,10403.04
19794885,73,2019-02-01,23821.44,72,0.21,23821.44
19794890,73,2019-02-01,21068.39,72,0.2683,21068.39
19794898,73,2019-02-01,16433.52,72,0.1328,16414.73
19794899,76,2019-02-01,29970,75,0.1554,29970
19794905,73,2019-02-01,21058.12,72,0.1529,20880.16
19794913,76,2019-02-01,25417.15,75,0.2503,25417.15
19794937,73,2019-02-01,18566.69,72,0.2369,18319.18
19794939,73,2019-02-01,30085.71,72,0.2445,30085.71
19794950,72,2019-02-01,14667,72,0.2245,14667
19794957,61,2019-02-01,31285.69,60,0.1614,31285.69
19794958,73,2019-02-01,27580,72,0.21,27580
19795780,76,2019-02-01,33441,75,0.0999,33441
19795789,73,2019-02-01,12401.38,72,0.2091,12401.38
19795794,73,2019-02-01,19955.22,72,0.2799,19955.22
19795804,72,2019-02-01,14131.21,72,0.1616,14004.86
19795822,76,2019-02-01,39709,75,0.1741,39709
19795827,73,2019-02-01,15849,72,0.1771,15849
19795842,73,2019-02-01,38125.73,72,0.1514,38125.73
19795849,73,2019-02-01,25130.05,72,0.2404,25130.05
19795855,73,2019-02-01,26191.83,72,0.1989,26191.83
19795866,25,2019-02-01,6930.82,24,0.2369,6362.8
19792921,73,2019-02-01,21003.94,72,0.18,21003.94
19792936,73,2019-02-01,9252.42,72,0.0973,9071.48
19792950,75,2019-02-01,43283.59,75,0.1515,42944.33
19792995,73,2019-02-01,22654.01,72,0.1678,22654.01
19793003,73,2019-02-01,13879,72,0.2061,13879
19793025,75,2019-02-01,33798.65,75,0.1407,33561.68
19793032,73,2019-02-01,15929.28,72,0.1823,15929.28
19792961,73,2019-02-01,24001.07,72,0.1238,24001.07
19792970,72,2019-02-01,24892.5,72,0.218,24892.5
19793067,73,2019-02-01,30280.29,72,0.1522,30280.29
19793070,76,2019-02-01,29192.66,75,0.115,29192.66
19792977,72,2019-02-01,20824,72,0.263,20824
19792984,73,2019-02-01,40718.26,72,0.1635,40718.26
19793082,72,2019-02-01,13615.45,72,0.2638,13530.38
19793083,72,2019-02-01,19694.66,72,0.2199,19543.43
19792997,73,2019-02-01,15758.37,72,0.2299,15758.37
19793177,72,2019-02-01,23721.7,72,0.2371,23394.12
19793178,73,2019-02-01,29082.43,72,0.18,29082.43
19793186,73,2019-02-01,17164,72,0.2486,17164
19793194,73,2019-02-01,21458.02,72,0.1823,21458.02
19793199,49,2019-02-01,5929.17,48,0.0881,5929.17
19793201,73,2019-02-01,30370,72,0.2095,30370
19793209,73,2019-02-01,8850.5,72,0.21,8707.58
19793517,73,2019-02-01,18679.25,72,0.2348,18679.25
19793529,73,2019-02-01,19069,72,0.18,19069
19793215,73,2019-02-01,13836,72,0.252,13836
19793222,76,2019-02-01,25127,75,0.1778,25127
19793236,73,2019-02-01,35954.79,72,0.1349,35954.79
19793534,73,2019-02-01,20592.98,72,0.18,20592.98
19793536,72,2019-02-01,29523.86,72,0.1379,29523.86
19793543,73,2019-02-01,24940.1,72,0.2243,24940.1
19793256,73,2019-02-01,29674.13,72,0.1392,29674.13
19793269,72,2019-02-01,29419.97,72,0.2237,29215.21
19793278,76,2019-02-01,33000,75,0.1828,33000
19793279,73,2019-02-01,14362,72,0.18,14286.98
19793284,75,2019-02-01,31194.14,75,0.163,30862.73
19793293,61,2019-02-01,14996,60,0.21,14996
19793294,73,2019-02-01,25922.88,72,0.2258,25922.88
19793549,73,2019-02-01,18400.83,72,0.2505,18303.53
19793555,72,2019-02-01,33467.08,72,0.1837,33467.08
19793557,73,2019-02-01,33210.94,72,0.1246,33210.94
19793562,73,2019-02-01,28229.96,72,0.2238,28229.96
19793564,73,2019-02-01,17586.72,72,0.1846,17586.72
19793579,73,2019-02-01,25993.1,72,0.18,25993.1
19793597,73,2019-02-01,29111.18,72,0.196,29111.18
19793598,73,2019-02-01,31073.28,72,0.1596,31073.28
19793603,73,2019-02-01,28529.51,72,0.21,28190.62
19793610,73,2019-02-01,15599.04,72,0.2588,15599.04
19793622,48,2019-02-01,5000,48,0.2343,5000
19793630,73,2019-02-01,18006.25,72,0.1728,18006.25
19793637,73,2019-02-01,17834.43,72,0.2499,17834.43
19793646,73,2019-02-01,10670,72,0.2747,10670
19793663,73,2019-02-01,27059.31,72,0.1792,27059.31
19793670,73,2019-02-01,44327.22,72,0.1249,44327.22
19793672,73,2019-02-01,15762.95,72,0.2221,15762.95
19793686,73,2019-02-01,13653,72,0.1836,13653
19793694,73,2019-02-01,23579.25,72,0.1843,23579.25
19793668,73,2019-02-01,12900,72,0.2381,12900
19793669,73,2019-02-01,35155.46,72,0.1248,35155.46
19793679,66,2019-02-01,10701.8,66,0.2,10609.14
19795230,76,2019-02-01,33228.78,75,0.1389,33228.78
19795383,73,2019-02-01,17618.15,72,0.1194,17618.15
19795402,73,2019-02-01,14714.5,72,0.2385,14714.5
19795425,73,2019-02-01,15103.52,72,0.1318,15103.52
